Morfo;Visitor
borboleta ciom asas mescladas;Strymon bazochii
borboleta ciza pequena;Hesperiidae sp5
borboleta co olhos nas asas;Junonia evarete
borboleta com asa com detalhes brancos;Burnsius orcus
borboleta com asa de folha;Anteos clorinde
Borboleta com asa de folha verde clara;Anteos clorinde
Borboleta com asas amarelas claras;Phoebis sp1
Borboleta com asas fechadas branca e azuis quando abre;Lycaenidae sp2
Borboleta com asas mescladas;Strymon bazochii
Borboleta com asas transparentes;Nymphalidae sp.
borboleta com detalhes em azul;Synargis calyce
borboleta com mosaico;Burnsius orcus
Borboleta com mosaico já filmei e cap. Em algum lugar, Aqui tem tentativa de vídeo tbm;Burnsius orcus
Borboleta com olhos nas asas;Junonia evarete
Borboleta com olhos nas asas (25/11/2021 12:30);Junonia evarete
Borboleta com rabo;Spicauda procne
Borboleta com rabo com pintinhas nas asas;Spicauda procne
Borboleta da ast. Laranja (Vídeo horrível);Vanessa braziliensis
Borboleta decorada em branco cinza, asas abertas;Burnsius orcus
Borboleta do agrião;Chlosyne saundersii
borboleta do agrião 1;Chlosyne saundersii
Borboleta do Agrião do Pará;Chlosyne saundersii
Borboleta do agrião meio bege;Chlosyne saundersii
Borboleta do araacujá;Agraulis maculosa
borboleta do funcho;Lycaenidae sp2
borboleta do girassol 1;Ascia sp.
Borboleta do girassol;Ascia sp.
Borboleta do girassol mais acizentada;Ascia sp.
borboleta do girassol que já filmei hj;Ascia sp.
Borboleta do manjericão hj mesmo;Hesperiidae sp5
Borboleta do maracujá;Agraulis maculosa
Borboleta do maracujá (Vídeo 23/11/2021 10:02);Agraulis maculosa
Borboleta do maragaridão alranja;Vanessa braziliensis
borboleta do marecujá;Agraulis maculosa
Borboleta enorme preta com detalhes em amarelo (Vídeo 24/11/2021 10:09);Heraclides brasiliensis
Borboleta estranha (155);Zygaenidae sp2
Borboleta feia (heperiidae laranja);Hylephila phyleus
Borboleta feia (heperiidae marrom);Hesperiidae sp3
Borboleta feia alaranjada com marrom;Hylephila phyleus
Borboleta feia marrom (vídeo péssimo);Spicauda procne
Borboleta fimalada semana passada no amnjericão;Hesperiidae sp5
Borboleta foto ruim (Olho nas asas quando estão abertas , detalahes em azul);Junonia evarete
Borboleta grande amarela com preto;Heraclides brasiliensis
Borboleta já cap. Aqui. Pequena (146);Lepidoptera sp8
Borboleta laranja asa longa;Dryas sp.
Borboleta laranja com detalhes em preto linda;Dryas sp.
Borboleta laranja feia;Hylephila phyleus
Borboleta laranja feia (já cap.) \Pousada na flor;Hylephila phyleus
Borboleta laranja feia (já capturada);Hylephila phyleus
Borboleta laranja linda;Dryas sp.
Borboleta laranja que parece a do maracuja;Agraulis maculosa
Borboleta linda;Heliconiinae sp.
borboleta marca texto;Phoebis marcellina
Borboleta marrom clara;Hesperiidae sp3
Borboleta marrom com mosaico tbm marrom (asas abertas);Strymon bazochii
Borboleta marrom escuro;Spicauda procne
Borboleta marrom escuro média ;Spicauda procne
Borboleta marrom grande (cap.) (112);Urbamus proteus
borboleta marrom média;Hesperiidae sp3
Borboleta marrom ornamentada;Strymon bazochii
Borboleta marrom pequena;Spicauda procne
Borboleta marrom pequena 1;Hesperiidae sp3
Borboleta média com olhos atras;Junonia evarete
borboleta média marrom clara;Hesperiidae sp3
borboleta mesclada;Strymon bazochii
borboleta mesclada com torax azul;Burnsius orcus
borboleta mesclada preto com branco;Burnsius orcus
Borboleta monarca;Euptoieta meridiania
Borboleta mosaico linda diferente na que tinha no tridax;Strymon bazochii
Borboleta mt diferente, ou abelha?;Zygaenidae sp8
Borboleta na zinnia com vídeo ruim;Euptoieta meridiania
Borboleta nymphalidae linda;Dryas sp.
borboleta nymphaliidae com detalhes coloridos enter amarelo laranja e preto;Eueides dianasa
Borboleta parecida com a falsa monarca;Euptoieta meridiania
Borboleta parecida com monarca (já pega);Agraulis maculosa
Borboleta parecida com monarca (já pega) 1;Euptoieta meridiania
Borboleta pavão branco;Anartia jatrophae
borboleta pequena cinza com asas azuis dentro;Lycaenidae sp2
Borboleta pequena com asas verde grama;Lycaenidae sp1
Borboleta pequena laranja;Hylephila phyleus
Borboleta pequnea asas fechadas brancas com detalhes e abertas azuis;Lycaenidae sp2
Borboleta praga laranja feia ;Hylephila phyleus
Borboleta preta com amarelo grande;Heraclides brasiliensis
borboleta preta com detalhes em rosa;Battus polydamas
Borboleta preta enorme;Heraclides brasiliensis
Borboleta preta enorme (Parece aquela que chama de defunto);Heraclides brasiliensis
Borboleta preta grande;Heraclides brasiliensis
Borboleta preta grande (Vídeo horrível);Heraclides brasiliensis
Borboleta preta linda;Battus polydamas
borboleta preta pequnea;Hylephila phyleus0
Borboleta que aprece a do girassol;Ascia sp.
borboleta que aprece a do girassol 1;Ascia sp.
borboleta que aprece a monarca;Euptoieta meridiania
Borboleta que arece a do girassol;Ascia sp.
Borboleta que filme no funcho esses dias;Lycaenidae sp2
borboleta que lembra a monarca;Euptoieta meridiania
Borboleta que parece a do agrião;Chlosyne saundersii
Borboleta que parece a do Agrião;Chlosyne saundersii
Borboleta que parece a do girasso;Ascia sp.
Borboleta que parece a do girassol;Ascia sp.
borboleta que parece a do girassol 1;Ascia sp.
Borboleta que parece a do maracujá;Agraulis maculosa
Borboleta que parece a do maracujá 1;Euptoieta meridiania
Borboleta que parece a monarca;Euptoieta meridiania
borboleta que parece a monarca 1;Euptoieta meridiania
Borboleta que parece do girassol;Ascia sp.
Borboleta que parece pavão branco;Anartia jatrophae
borboleta que parecea monarca;Euptoieta meridiania
Borboleta que pousa nas pétalas (74);Hesperiidae sp3
Borboleta verde claro com amarelo dentro;Phoebis marcellina
Borboleta vermelha da Ast. Laranja;Vanessa braziliensis
Borboleta vermelha linda comum (Photo ast. Laranja);Vanessa braziliensis
Borbolta com torax azul e asas brancas;Burnsius orcus
Borlbeta cinza pequena;Hesperiidae sp5
boroblat com asas fechadass cinzas qe quando abre a asa azul equnea;Lycaenidae sp2
Boroblet amescadinha branco com preto;Burnsius orcus
Boroblet6a amarela grnade;Phoebis sp1
Borobleta amarela;Phoebis sp1
Borobleta amarela clássica;Phoebis sp1
Borobleta amarela já filmada essa semana nela;Phoebis sp1
Borobleta amarela tentando roubvar algo;Phoebis sp1
